industry,quarter,nominal_production_yoy,production,production_masked,grade,ppi_level,component_id,ppi_item,ppi_index,ppi_index_yoy_pct,ppi_index_complete_quarter,ppi_adjusted_production_yoy,ppi_mapping_grade,ppi_mapping_uncertainty,ppi_index_incomplete_quarter
음식료,2022Q3,13.86510743606637,1292.09,0,A,lv3,,음식료품,115.946667,10.124739,True,3.3964833606247025,A,대분류 직접 대응,-2
전기전자,2022Q3,13.792097021529548,30343.6995,0,C,lv3,c1,전기장비,112.92,6.588635,True,6.758189577650131,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2022Q3,13.792097021529548,30343.6995,0,C,lv3,c2,컴퓨터전자및광학기기,100.2,-3.465108,True,17.876650259814397,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2022Q3,9.160978567067946,17584.4,0,B,lv4,,철강1차제품,151.693333,10.491174,True,-1.203892930789252,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2022Q4,-8.447120157116705,43131.31384666667,0,A,lv3,,기계및장비,107.536667,4.222395,True,-12.156231064462386,A,대분류 직접 대응,-2
기타,2022Q4,-38.65204843850605,97.7825,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2022Q4,-49.854039744705545,69.14124999999999,0,A,lv3,,목재및종이제품,123.956667,6.684454,True,-52.99600047135784,A,대분류 직접 대응,-2
비금속,2022Q4,14.37809958341596,144.14499999999998,0,A,lv3,,비금속광물제품,123.586667,14.939393,True,-0.48833859474448627,A,대분류 직접 대응,-2
석유화학,2022Q4,42.66686889180007,885.7425,0,C,lv3,c1,화학제품,125.17,4.999581,True,35.87375066934797,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2022Q4,42.66686889180007,885.7425,0,C,lv3,c2,석탄및석유제품,220.733333,27.324117,True,12.050153775502004,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2022Q4,698.1666666666666,11.9725,0,A,lv4,,섬유및의복,113.52,7.980595,True,639.1760220127206,A,대분류 직접 대응,-2
운송장비,2022Q4,39.99013394114541,38041.10960633333,0,A,lv3,,운송장비,104.546667,2.782238,True,36.200706138686556,A,대분류 직접 대응,-2
음식료,2022Q4,33.32604186139836,1584.72,0,A,lv3,,음식료품,118.206667,11.582392,True,19.486631780933994,A,대분류 직접 대응,-2
전기전자,2022Q4,-7.753161436961752,26050.990760750003,0,C,lv3,c1,전기장비,115.123333,7.131336,True,-13.893691605751801,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2022Q4,-7.753161436961752,26050.990760750003,0,C,lv3,c2,컴퓨터전자및광학기기,98.79,-3.453106,True,-4.4538516557164005,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2022Q4,-15.233822216149884,15341.4745,0,B,lv4,,철강1차제품,147.12,0.900736,True,-15.99052579373642,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2023Q1,-3.5522026508665205,43783.11930276925,0,A,lv3,,기계및장비,108.173333,3.591151,True,-6.89571800478066,A,대분류 직접 대응,-2
기타,2023Q1,-52.11678607015089,77.53250000000001,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2023Q1,-49.38055281092698,68.37,0,A,lv3,,목재및종이제품,123.36,3.29063,True,-50.9931857429149,A,대분류 직접 대응,-2
비금속,2023Q1,31.799127014996344,152.485,0,A,lv3,,비금속광물제품,126.27,14.140653,True,15.470801638918562,A,대분류 직접 대응,-2
석유화학,2023Q1,68.6169252577779,871.9124999999999,0,C,lv3,c1,화학제품,124.406667,1.179277,True,66.65164078784423,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2023Q1,68.6169252577779,871.9124999999999,0,C,lv3,c2,석탄및석유제품,194.72,-2.467693,True,72.88315066491546,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2023Q1,373.66666666666674,7.105,0,A,lv4,,섬유및의복,114.696667,6.582208,True,344.4143873118736,A,대분류 직접 대응,-2
운송장비,2023Q1,34.689526092846926,36202.67666263637,0,A,lv3,,운송장비,104.713333,2.129458,True,31.88117192675881,A,대분류 직접 대응,-2
음식료,2023Q1,34.716876930776806,1561.18,0,A,lv3,,음식료품,119.483333,10.210921,True,22.235505981096736,A,대분류 직접 대응,-2
전기전자,2023Q1,3.621137158938215,32541.05698775,0,C,lv3,c1,전기장비,117.646667,6.728356,True,-2.9113339299087215,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2023Q1,3.621137158938215,32541.05698775,0,C,lv3,c2,컴퓨터전자및광학기기,95.553333,-5.725655,True,9.91445992962159,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2023Q1,-11.352948554581854,16124.712499999998,0,B,lv4,,철강1차제품,145.413333,-1.117483,True,-10.351137759349161,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2023Q2,0.3889388995355292,46779.95319025642,0,A,lv3,,기계및장비,108.696667,2.754057,True,-2.3017272208186057,A,대분류 직접 대응,-2
기타,2023Q2,-39.718035049375,78.78250000000001,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2023Q2,-52.43016966733348,64.205,0,A,lv3,,목재및종이제품,122.436667,0.371635,True,-52.60630123972124,A,대분류 직접 대응,-2
비금속,2023Q2,24.113681909273097,170.315,0,A,lv3,,비금속광물제품,127.9,9.772844,True,13.064103458295296,A,대분류 직접 대응,-2
석유화학,2023Q2,45.18449021597293,991.6875,0,C,lv3,c1,화학제품,123.893333,-5.261011,True,53.246822399564486,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
석유화학,2023Q2,45.18449021597293,991.6875,0,C,lv3,c2,석탄및석유제품,180.94,-27.250553,True,99.56782656502246,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
섬유의복,2023Q2,273.95833333333326,8.975,0,A,lv4,,섬유및의복,115.886667,5.080852,True,255.8767617656291,A,대분류 직접 대응,-2
운송장비,2023Q2,44.506837458582574,40053.86899536364,0,A,lv3,,운송장비,104.606667,1.675036,True,42.126172897133344,A,대분류 직접 대응,-2
음식료,2023Q2,22.16846783963542,1522.72,0,A,lv3,,음식료품,120.183333,7.2172,True,13.944840790130165,A,대분류 직접 대응,-2
전기전자,2023Q2,7.759641743531831,33166.19101575,0,C,lv3,c1,전기장비,118.143333,5.284577,True,2.3508331552985373,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
전기전자,2023Q2,7.759641743531831,33166.19101575,0,C,lv3,c2,컴퓨터전자및광학기기,94.74,-5.881184,True,14.493197346991504,C,복수 후보만 존재 — 가중치 근거 없음. 밴드로만 해석,-2
철강,2023Q2,-13.494612178357956,17383.534499999998,0,B,lv4,,철강1차제품,145.73,-8.164937,True,-5.803529724107614,B,상위 범주가 넓어 범위 과대·과소 가능,-2
기계,2023Q3,-2.0222097805846277,44858.85667900002,0,A,lv3,,기계및장비,109.006667,1.423565,True,-3.3974104347294753,A,대분류 직접 대응,-2
기타,2023Q3,-41.42301299928807,77.53250000000001,0,,,,,,,,,D,대응 항목 없음 — 조정 생산 산출 불가,-1
목재종이,2023Q3,-45.749012381946585,74.61500000000001,0,A,lv3,,목재및종이제품,121.41,-1.415579,True,-44.97001953477678,A,대분류 직접 대응,-2
비금속,2023Q3,-6.753118133143532,150.64499999999998,0,A,lv3,,비금속광물제품,128.83,6.309999,True,-12.287759623761762,A,대분류 직접 대응,-2
