industry,recent_4q_mean_production,recent_4q_production_share,full_period_mean_production,full_period_production_share
기계,54059.218272954546,35.053878191594656,47997.31943397063,37.769471048354895
운송장비,45833.39371666667,29.719967320637775,32202.91003165044,25.340725116668878
전기전자,34296.50388805556,22.239046514124624,30281.750363094277,23.828949348011196
철강,17850.3775,11.574805898960395,14434.30394269697,11.358468166474184
음식료,1350.62,0.8757890046445175,1196.8615656636364,0.9418198513233472
석유화학,439.2825,0.2848460584270596,626.0858080858585,0.4926718842041902
목재종이,169.4775,0.10989510819819136,108.68970117818182,0.08552878723886018
비금속,126.935,0.08230907087452564,138.44136363636363,0.10894060621347174
기타,84.02250000000001,0.054483112676210914,89.32351279626263,0.07028938012125788
섬유의복,7.679600000000001,0.004979719862039683,3.984978787878788,0.0031358113897204595
