hs6,hs_chapter,chapter_name_ko,hs6_name_ko,target_kicox_industry,mapping_type,mapping_confidence,rationale,nature_major_code,nature_major_name,valid_through,source
720449,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720450,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010801,(고철),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720510,72,제72류 철강,알갱이,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720521,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720529,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010701,(철강 원부자재),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720610,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720690,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720711,72,제72류 철강,횡단면이 직사각형(정사각형을 포함한다)인 것(폭이 두께의 두 배 미만인 것으로 한정한다),철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720712,72,제72류 철강,그 밖의 횡단면이 직사각형(정사각형은 제외한다)인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720719,72,제72류 철강,,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
720720,72,제72류 철강,탄소의 함유량이 전 중량의 100분의 0.25 이상인 것,철강,direct,A,제72류 철강. KICOX '철강'에 직접 대응,24010601,(철강 반제품),2026,"관세청_HS부호(공공데이터포털 15049722, 2026-01-01 기준) + 관세청_HSK별 신성질별_성질별 분류(15049720)"
