wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
K131132609070012,지성정판,배송 운전원 & 인쇄 작업 지원,"시급10,500 원 이상",경남 창원시 성산구,[인증],,신입,26-09-07,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070012
K131132609070011,(주)삼소재건축사사무소,건축감리 경력직 모집,월급300 만원 이상,경남 창원시 성산구,[인증],,경력 3년,26-09-07,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070011
K131132609070010,주식회사 오토시스템,내선전공 및 보조직원 구함,월급270 만원 이상 ~ 290 만원 이하,경남 창원시 의창구,[인증],,신입,26-09-07,26-09-23,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070010
K131132609070008,창원노인주간복지센터,노인주간복지센터에서 물리치료사를 모집합니다,월급250 만원 이상 ~ 250 만원 이하,경남 창원시 성산구,[인증],,관계없음,26-09-07,26-09-21,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070008
D,한국전기연구원,2026년도 제4차 한국전기연구원 별정직 채용(창원),월급162 만원 이상 ~ 162 만원 이하,경남 창원시 성산구,[인증],,관계없음,26-09-07,26-09-21,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=Dd04052609070012
K131132609070007,창원노인주간복지센터,노인주간보호센터 요양보호사 모집,월급216 만원 이상,경남 창원시 성산구,[인증],,관계없음,26-09-07,26-09-21,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070007
K130112609070021,안경회계법인,(창원) 안경회계법인 경남본부에서 기장팀 경력사원 모집합니다.,"연봉4,000 만원 이상",경남 창원시 성산구,[인증],,경력 5년,26-09-07,26-09-25,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K130112609070021
K131132609070006,주식회사성호전자,[신입/경력] 항공 생산기술원 모집,"시급11,000 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-07,26-09-25,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070006
K131132609070004,혜송산업,NC선반 조작원 모집 (신입 및 경력자),"시급10,320 원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-07,26-09-21,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070004
K131132609070003,주식회사 장풍,호텔 객실 청소원(룸메이드),월급229 만원 이상,경남 창원시 성산구,[인증],,경력 1년,26-09-07,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070003
K131132609070002,유로테크(주),금속가공제품 검사원 구인,"연봉4,200 만원 이상 ~ 4,600 만원 이하",경남 창원시 성산구,[인증],,경력 3년,26-09-07,26-11-04,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070002
K131132609070001,주식회사 장풍,보안근무자(한마음병원),월급285 만원 이상,경남 창원시 의창구,[인증],,관계없음,26-09-07,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609070001
K131132609040054,(주)선광테크윈,MCT오퍼레이터 유경험자 모집합니다.,"연봉3,500 만원 이상",경남 창원시 성산구,[인증],,경력 3년,26-09-04,26-11-03,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609040054
