업종,고용비중%,명목생산YoY%,조정생산YoY_최소%,조정생산YoY_최대%,명목국면,조정기준국면,후보별방향,사용후보
기계,51.19219716102064,-19.547350877543444,-20.547174711500393,-20.547174711500393,S4,S4,모든 후보에서 유지,기계및장비
전기전자,24.365583906644606,2.697876409158262,-15.114355637633746,-5.165173585994209,S2,S4,모든 후보에서 반전,전기장비; 컴퓨터전자및광학기기
운송장비,14.201863624488373,19.64333200865325,17.240435258924247,17.240435258924247,S2,S2,모든 후보에서 유지,운송장비
철강,8.437690498998519,32.648709569813406,25.280923333212368,25.280923333212368,S2,S2,모든 후보에서 유지,철강1차제품
음식료,0.5529913785596099,0.8734323986208103,-0.7793171381018205,-0.7793171381018205,S2,S4,모든 후보에서 반전,음식료품
목재종이,0.37272489767482364,-12.897127553431709,-15.289242141734317,-15.289242141734317,S4,S4,모든 후보에서 유지,목재및종이제품
비금속,0.15936601933292693,45.67070435172722,40.860667555156446,40.860667555156446,S2,S2,모든 후보에서 유지,비금속광물제품
