industry,quarter,cai_observe,cai_check,cai_priority,cai_undetermined,necessary_stage,possible_stages,n_possible,is_discriminating,v1_0_stage,d_stage,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
기계,2025Q4,1.0,0.0,0.0,0.0,OBSERVE,OBSERVE,1,False,OBSERVE,OBSERVE,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기계,2026Q1,0.032664756446991405,0.8143266475644699,0.1530085959885387,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CHECK,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기계,2026Q2,0.0,0.032091690544412604,0.9679083094555874,0.0,,CHECK|PRIORITY,2,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2022Q1,0.78567335243553,0.21432664756446992,0.0,0.0,,OBSERVE|CHECK,2,True,OBSERVE,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2022Q2,0.46532951289398283,0.5346704871060172,0.0,0.0,,OBSERVE|CHECK,2,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2022Q3,0.09742120343839542,0.8928366762177651,0.009742120343839542,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CHECK,CHECK,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2022Q4,0.06475644699140401,0.03495702005730659,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2023Q1,0.05501432664756447,0.04469914040114613,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2023Q2,0.0670487106017192,0.032664756446991405,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
기타,2023Q3,0.0830945558739255,0.0166189111747851,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,PRIORITY,PRIORITY,20260916T154838264753Z-3c7692cc,2026-09-16T15:48:38.264753+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,2e705ec469750609c6d2617daa47a33651f237ca1659d3fc9556011d5ee4f0e7,DRAFT,"AM1,AM2,AM3",3
