gu,legal_dong
마산합포구,진동면
마산합포구,진북면
마산합포구,진전면
마산회원구,내서읍
마산회원구,봉암동
마산회원구,양덕동
성산구,남산동
성산구,내동
성산구,대원동
성산구,성산동
성산구,성주동
성산구,신촌동
성산구,웅남동
의창구,대산면
의창구,동읍
의창구,북면
의창구,팔용동
진해구,남양동
