q1_q3_industry,q1_q3_quarter,q1_q3_stage,q1_q3_state,kicox_industry,company_raw,normalized_company,company_official,wanted_auth_no,title_raw,region_raw,gu,reg_date,due_date,recruitment_count,recruitment_count_source,occupation,occupation_source,career_type,career_min_months,wage_type,wage_min,wage_max,ksic_code,ksic_name,ksic_resolution_method,company_match_status,is_manufacturing,workplace_address_enriched,address_source,industrial_complex_match_status,industrial_complex_match_method,kicox_mapping_status,kicox_mapping_confidence,repost_candidate,evidence_status,evidence_notes,source_url
기계,2026Q2,우선점검,S4,기계,주식회사성산글로팩,성산글로팩,(주)성산글로팩,K131132609180016,제품설계(CAD) 담당자 모집(신입),경남 창원시 성산구,성산구,2026-09-18,2026-10-07,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,신입,0.0,연봉,32400000,32400000,25991,금속 캔 및 기타 포장용기 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 대산면 가술길23번길 12-64,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180016
기계,2026Q2,우선점검,S4,기계,주식회사킴텍,킴텍,주식회사 킴텍,K131132609180015,플라스틱 사출 소재담당자 구인,경남 창원시 의창구,의창구,2026-09-18,2026-10-02,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,29176,액체 여과기 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 북면 동전산단서로 34,ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180015
기계,2026Q2,우선점검,S4,기계,(주)신승정밀,신승정밀,(주)신승정밀,K131132609180014,CNC선반 조작원 채용,경남 창원시 성산구,성산구,2026-09-18,2026-10-30,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,36.0,연봉,40000000,45000000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 성산구 공단로 220 (웅남동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180014
기계,2026Q2,우선점검,S4,기계,삼명기계공업(주),삼명기계공업,삼명기계공업(주),K131132609180012,삼명기계공업(주) 품질관리부 사원 모집,경남 창원시 성산구,성산구,2026-09-18,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,24.0,연봉,32000000,32000000,,공기 조화장치 제조업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 웅남로 324 (웅남동, 삼명기계공업(주))",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180012
기계,2026Q2,우선점검,S4,기계,제이텍,제이텍,제이텍,K131132609180007,창원)LG 전자 가전 제품  개발( 설계변경 및 편집 ) 연구원/신입가능,경남 창원시 성산구,성산구,2026-09-18,2026-11-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,연봉,35000000,35000000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 완암로 50, 메카동 3층 309호 (성산동, SK테크노파크)",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180007
기계,2026Q2,우선점검,S4,기계,주식회사 신화엠티,신화엠티,(주)신화엠티,K131132609180004,MCT 생산직 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,11000,11000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 팔용로345번길 31 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180004
기계,2026Q2,우선점검,S4,기계,(주)에스제이에이치,에스제이에이치,(주)에스제이에이치,K131132609170054,"유압기기 세척 및 조립, 시험원 모집",경남 창원시 의창구,의창구,2026-09-17,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,36.0,시급,10320,10320,29210,농업 및 임업용 기계 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 대산면 봉강가술로 580-7 ((주)SJH),ENRICHED_FROM_FACTORY_REGISTER,POSSIBLE,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170054
목재종이,2026Q2,우선점검,S4,목재종이,주식회사마크,마크,주식회사 마크,K131132609170053,[주식회사마크] 홍보팀 추가 채용 (본사 상주근무 필수!),경남 창원시 성산구,성산구,2026-09-17,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,월급,2200000,2200000,18119,기타 인쇄업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 성산구 용지로 111 (중앙동) 평안빌딩,ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170053
기계,2026Q2,우선점검,S4,기계,주현테크,주현테크,주현테크,K131132609170043,CNC  금형 및 단품 가공 사원 모집(경력),경남 창원시 성산구,성산구,2026-09-17,2026-10-31,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,60.0,연봉,45000000,45000000,29293,주형 및 금형 제조업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 웅남로 316, 4동 1층 106호 (웅남동, 창원 지식산업센터)",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170043
기계,2026Q2,우선점검,S4,기계,주현테크,주현테크,주현테크,K131132609170042,납품영업 및 외주관리 사원 모집,경남 창원시 성산구,성산구,2026-09-17,2026-10-31,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,24.0,연봉,40000000,40000000,29293,주형 및 금형 제조업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 웅남로 316, 4동 1층 106호 (웅남동, 창원 지식산업센터)",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170042
기계,2026Q2,우선점검,S4,기계,성신메카텍 주식회사,성신메카텍,성신메카텍(주),K131132609170036,[창원] MCT 가공직원 모집 (정규직) (상여금있음),경남 창원시 의창구,의창구,2026-09-17,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,신입,0.0,시급,10320,10320,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,,NOT_COLLECTED_ACCESS_POLICY,UNKNOWN,NO_RELIABLE_ADDRESS,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170036
기계,2026Q2,우선점검,S4,기계,주식회사 대성금속,대성금속,대성금속,K131132609170035,생산직 사원 모집,경남 창원시 성산구,성산구,2026-09-17,2026-11-13,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,13000,25922,도금업,COMPANY_MASTER_EXACT,MATCH,True,,NOT_COLLECTED_ACCESS_POLICY,UNKNOWN,NO_RELIABLE_ADDRESS,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170035
기계,2026Q2,우선점검,S4,기계,주식회사승은테크,승은테크,(주)승은테크,K131132609170030,사상원 모집,경남 창원시 성산구,성산구,2026-09-17,2026-10-01,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,12000,12000,25113,육상 금속 골조 구조재 제조업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 공단로21번길 35 (신촌동, (주)승은테크) 외 1필지",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170030
기계,2026Q2,우선점검,S4,기계,우진이디엠,우진이디엠,(주)우진이디엠,K131132609170028,방전기 조작원 모집,경남 창원시 의창구,의창구,2026-09-17,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,시급,10320,10320,29293,주형 및 금형 제조업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 의창구 평산로 37 (팔용동, KPE)",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170028
기계,2026Q2,우선점검,S4,기계,창현정밀,창현정밀,창현정밀,K131132609170027,MCT 조작원,경남 창원시 성산구,성산구,2026-09-17,2026-11-14,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,48.0,연봉,60000000,60000000,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 공단로98번길 23 (신촌동, 태성정밀)",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170027
기계,2026Q2,우선점검,S4,기계,세계미크론,세계미크론,세계미크론,K131132609170017,원통연삭 기능공  모집,경남 창원시 의창구,의창구,2026-09-17,2026-11-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,24.0,연봉,36000000,36000000,29299,그 외 기타 특수목적용 기계 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 의창구 죽전로74번길 43 (팔용동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170017
기계,2026Q2,우선점검,S4,기계,주식회사 인시스(INSYS),인시스INSYS,(주)인시스,KEC0132609170005,[창원 용호동] 오피스텔 경비원 모집,경남 창원시 성산구,성산구,2026-09-17,2026-10-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,관계없음,,월급,2400000,2400000,29141,구름베어링 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 성산구 반월로60번길 18 (신촌동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KEC0132609170005
기계,2026Q2,우선점검,S4,기계,주식회사 인시스(INSYS),인시스INSYS,(주)인시스,KEC0132609170004,[창원 서상동] 메트로병원 미화원 채용,경남 창원시 의창구,의창구,2026-09-17,2026-10-16,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,12.0,시급,10320,10320,29141,구름베어링 제조업,COMPANY_MASTER_EXACT,MATCH,True,경상남도 창원시 성산구 반월로60번길 18 (신촌동),ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,A,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=KEC0132609170004
기계,2026Q2,우선점검,S4,기계,SMC,SMC,SMC,K131132609170005,하네스 및 케이블 생산직 모집,경남 창원시 의창구,의창구,2026-09-17,2026-10-01,,NOT_COLLECTED_ACCESS_POLICY,,NOT_PROVIDED_ON_LIST,경력,12.0,시급,10320,10320,25924,절삭가공 및 유사처리업,COMPANY_MASTER_EXACT,MATCH,True,"경상남도 창원시 성산구 공단로21번길 46 (신촌동, 경일정밀) 외 1필지",ENRICHED_FROM_FACTORY_REGISTER,NOT_MATCH,LEGAL_DONG_MFG_DENSITY_PROXY_UPPER_BOUND,MAPPED,C,False,CONFIRMED_POSTING_COMPANY_IDENTIFIED,수집시점 공개 채용활동 확인. 공고 수는 모집인원·노동수요가 아니다. 모집인원은 목록 미제공·상세 수집 비허용으로 미확보(NULL).,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170005
