snapshot_id,crawl_timestamp,wanted_auth_no,kicox_industry,kicox_mapping_status,kicox_mapping_confidence,ksic_code,ksic_name,company_raw,title_raw,region_raw,gu,reg_date,due_date,wage_raw,career_raw,education_raw,source_url,list_source_url,detail_source_url,request_status,http_status,error,company,title,source,collected_at,acquisition_path,recruitment_count_raw,recruitment_count,occupation_raw,related_occupation,occupation_keywords,job_description_raw,job_description_clean,employment_type,career,education,wage,work_hours_raw,work_pattern_raw,certificate_raw,preference_raw,other_preference_raw,computer_skill_raw,workplace_address,city,district,dong_eup_myeon,registered_at,closing_date,is_until_hired,personal_contact_fields_collected
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180016,기계,MAPPED,C,25991,금속 캔 및 기타 포장용기 제조업,주식회사성산글로팩,제품설계(CAD) 담당자 모집(신입),경남 창원시 성산구,성산구,2026-09-18,2026-10-07,"연봉 3,240 만원 이상",신입,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180016&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180016,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180016&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180015,기계,MAPPED,A,29176,액체 여과기 제조업,주식회사킴텍,플라스틱 사출 소재담당자 구인,경남 창원시 의창구,의창구,2026-09-18,2026-10-02,"시급 10,320 원 이상 ~ 10,320 원 이하",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180015&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180015,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180015&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180014,기계,MAPPED,C,25924,절삭가공 및 유사처리업,(주)신승정밀,CNC선반 조작원 채용,경남 창원시 성산구,성산구,2026-09-18,2026-10-30,"연봉 4,000 만원 이상 ~ 4,500 만원 이하",경력 3년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180014,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180014&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180012,기계,MAPPED,A,,공기 조화장치 제조업,삼명기계공업(주),삼명기계공업(주) 품질관리부 사원 모집,경남 창원시 성산구,성산구,2026-09-18,2026-11-16,"연봉 3,200 만원 이상",경력 2년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180012,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180007,기계,MAPPED,C,25924,절삭가공 및 유사처리업,제이텍,창원)LG 전자 가전 제품  개발( 설계변경 및 편집 ) 연구원/신입가능,경남 창원시 성산구,성산구,2026-09-18,2026-11-17,"연봉 3,500 만원 이상",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180007,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609180004,기계,MAPPED,C,25924,절삭가공 및 유사처리업,주식회사 신화엠티,MCT 생산직 모집,경남 창원시 의창구,의창구,2026-09-18,2026-10-17,"시급 11,000 원 이상",관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609180004,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609180004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609170054,기계,MAPPED,A,29210,농업 및 임업용 기계 제조업,(주)에스제이에이치,"유압기기 세척 및 조립, 시험원 모집",경남 창원시 의창구,의창구,2026-09-17,2026-11-16,"시급 10,320 원 이상",경력 3년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170054&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170054,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170054&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609170053,목재종이,MAPPED,C,18119,기타 인쇄업,주식회사마크,[주식회사마크] 홍보팀 추가 채용 (본사 상주근무 필수!),경남 창원시 성산구,성산구,2026-09-17,2026-11-16,월급 220 만원 이상,관계없음,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170053&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170053,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170053&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,SUCCESS,200,,주식회사마크,[주식회사마크] 홍보팀 추가 채용 (본사 상주근무 필수!),work24,2026-09-23T04:41:13+00:00,CURRENT_DETAIL_HTML,1명,1,광고·홍보 전문가,-,-,"▣ 홍보팀 추가 채용 □ 소속 : 마케팅부 □ 근무형태 : 09:00~18:00 (주 5일) □ 함께 할 업무 1) 온,오프라인 홍보 전략 및 계획 수립 2) 기존 거래처 관리 및 수주 관리 3) 신규 업체 발굴 제안 및 관리 4) 자사 홍보 효과 분석 5) 행사 기획 및 진행시 필요한 전반적 업무 담당 6) 행사 현장 진행 □ 이런 분을 찾고 있어요 1) 최신 온,오프라인 홍보 트렌드에 대한 이해도가 높은 분 2) 비즈니스 마인드를 지닌 원활한 커뮤니케이션이 가능하신 분 3) 긍정적이고 적극적인 태도와 문제 해결 능력을 가지신 분 4) 행사 진행, 행사와 관련된 경험이 있으신 분 5) 행사 진행, 행사와 관련된 경험이 있으신 분 6) 운전가능자 필수!!!! □ 이런 분이면 더 좋아요 1) 홍보 프로젝트 수행 경험자 2) 광고사 및 제작사와의 업무 경험자 3) 행사 관련 업무 경험자 4) 새로운 아이디어와 창의적인 사고력 보유자","▣ 홍보팀 추가 채용 □ 소속 : 마케팅부 □ 근무형태 : 09:00~18:00 (주 5일) □ 함께 할 업무 1) 온,오프라인 홍보 전략 및 계획 수립 2) 기존 거래처 관리 및 수주 관리 3) 신규 업체 발굴 제안 및 관리 4) 자사 홍보 효과 분석 5) 행사 기획 및 진행시 필요한 전반적 업무 담당 6) 행사 현장 진행 □ 이런 분을 찾고 있어요 1) 최신 온,오프라인 홍보 트렌드에 대한 이해도가 높은 분 2) 비즈니스 마인드를 지닌 원활한 커뮤니케이션이 가능하신 분 3) 긍정적이고 적극적인 태도와 문제 해결 능력을 가지신 분 4) 행사 진행, 행사와 관련된 경험이 있으신 분 5) 행사 진행, 행사와 관련된 경험이 있으신 분 6) 운전가능자 필수!!!! □ 이런 분이면 더 좋아요 1) 홍보 프로젝트 수행 경험자 2) 광고사 및 제작사와의 업무 경험자 3) 행사 관련 업무 경험자 4) 새로운 아이디어와 창의적인 사고력 보유자",기간의 정함이 있는 근로계약 · 2개월 (계약기간 만료 후 상용직 전환 검토),관계없음,학력무관,월급 220만원 이상 협의가능,"주 소정근로시간 도움말 ※ ""주소정근로시간"" 이란 근로자와 사용자가 정한 1주 동안 근로하는 근로시간을 말합니다. 닫기 : 40시간 상세 근무시간 (근무시간) (오전) 9시 00분 ~ (오후) 6시 00분",주 5일 근무,필수 자동차운전면허,,,-,경상남도 창원시 성산구 용지로 111 (중앙동) 지도 보기 길찾기,창원시,성산구,,2026.09.17 16:00:48,채용시까지 (마감시간 : 24시),True,False
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609170043,기계,MAPPED,A,29293,주형 및 금형 제조업,주현테크,CNC  금형 및 단품 가공 사원 모집(경력),경남 창원시 성산구,성산구,2026-09-17,2026-10-31,"연봉 4,500 만원 이상",경력 5년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170043&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170043,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170043&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work24_5gu_20260919_2138,2026-09-19T12:38:57+00:00,K131132609170042,기계,MAPPED,A,29293,주형 및 금형 제조업,주현테크,납품영업 및 외주관리 사원 모집,경남 창원시 성산구,성산구,2026-09-17,2026-10-31,"연봉 4,000 만원 이상",경력 2년,학력무관,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170042&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609170042,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131132609170042&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,NOT_REQUESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
